name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
gadhvi (he thought he was gandhi),2019,109,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
yaaram,2019,110,Comedy,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
yaaram,2019,110,Romance,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...aur pyaar ho gaya,1997,147,Comedy,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...aur pyaar ho gaya,1997,147,Drama,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...aur pyaar ho gaya,1997,147,Musical,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...yahaan,2005,142,Drama,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
...yahaan,2005,142,Romance,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
...yahaan,2005,142,War,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
 a question mark,2012,82,Horror,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
 a question mark,2012,82,Mystery,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
 a question mark,2012,82,Thriller,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
andheri,2014,116,Action,4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
andheri,2014,116,Crime,4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
andheri,2014,116,Thriller,4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
11.6 an ode to lost love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1137 ek tera saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 days,1991,161,Horror,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100 days,1991,161,Romance,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100 days,1991,161,Thriller,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% love,2012,166,Comedy,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
100% love,2012,166,Drama,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
100% love,2012,166,Romance,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
102 not out,2018,102,Comedy,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
102 not out,2018,102,Drama,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
10ml love,2010,87,Comedy,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
10ml love,2010,87,Drama,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
10ml love,2010,87,Romance,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
12 o'clock,1958,132,Crime,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 o'clock,1958,132,Drama,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 o'clock,1958,132,Mystery,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 o'clock,2021,105,Horror,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
12 o'clock,2021,105,Thriller,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
127 b,2017,116,Comedy,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
127 b,2017,116,Horror,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13b fear has a new address,2009,146,Drama,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
13b fear has a new address,2009,146,Horror,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
13b fear has a new address,2009,146,Mystery,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
15 park avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
15th august,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
16-Dec,2002,158,Action,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
16-Dec,2002,158,Thriller,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
19 revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1920,2008,138,Horror,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920,2008,138,Mystery,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920,2008,138,Romance,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920 london,2016,120,Horror,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920 london,2016,120,Mystery,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920 evil returns,2012,124,Drama,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1920 evil returns,2012,124,Horror,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1920 evil returns,2012,124,Romance,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1921,2018,144,Horror,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1921,2018,144,Mystery,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1921,2018,144,Romance,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1942 a love story,1994,157,Action,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1942 a love story,1994,157,Drama,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1942 a love story,1994,157,History,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1971,2007,136,Action,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1971,2007,136,Drama,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1971,2007,136,War,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1978 a teen night out,2019,107,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - a love marriage,2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
2 nights in soul valley,2012,80,Adventure,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 nights in soul valley,2012,80,Horror,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 nights in soul valley,2012,80,Mystery,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2-Oct,2003,122,Action,5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2-Oct,2003,122,Crime,5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2-Oct,2003,122,Thriller,5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 states,2014,149,Comedy,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2 states,2014,149,Drama,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2 states,2014,149,Romance,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2,2018,148,Action,6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2,2018,148,Sci-Fi,6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2001 do hazaar ek,1998,149,Crime,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2001 do hazaar ek,1998,149,Mystery,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2001 do hazaar ek,1998,149,Thriller,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2016 the end,2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
22 days,2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 june 1897,1979,121,Drama,7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 june 1897,1979,121,History,7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 yards,2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd march 1931 shaheed,2002,188,Biography,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
23rd march 1931 shaheed,2002,188,Drama,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
23rd march 1931 shaheed,2002,188,History,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
27 down,1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 am a paranormal experience,2014,103,Horror,5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 am a paranormal experience,2014,103,Romance,5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 bachelors,2012,114,Comedy,3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 bachelors,2012,114,Romance,3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 deewarein,2003,115,Crime,7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 deewarein,2003,115,Drama,7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 dev,2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 idiots,2009,170,Comedy,8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 idiots,2009,170,Drama,8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 storeys,2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 megapixel,2015,99,Adventure,4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
3.0 megapixel,2015,99,Drama,4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
31st october,2015,109,Action,5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
31st october,2015,109,Drama,5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
31st october,2015,109,History,5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
36 china town,2006,140,Comedy,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 china town,2006,140,Mystery,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 china town,2006,140,Thriller,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 chowringhee lane,1981,122,Drama,7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 chowringhee lane,1981,122,Romance,7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
376 d,2020,128,Crime,5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
376 d,2020,128,Thriller,5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 abnormal,2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3d saamri,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3g a killer connection,2013,125,Horror,3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3g a killer connection,2013,125,Sci-Fi,3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3g a killer connection,2013,125,Thriller,3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd eye,2019,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
404 error not found,2011,121,Drama,7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
404 error not found,2011,121,Mystery,7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
404 error not found,2011,121,Thriller,7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 miles,2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
498a-the wedding gift,2012,113,Drama,7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
498a-the wedding gift,2012,113,Family,7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
498a-the wedding gift,2012,113,Musical,7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
5 ghantey mien 5 crore,2012,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 rifles,1974,134,Action,6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
5 rifles,1974,134,Comedy,6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
5ters castle of dark master,2011,110,Action,4.6,19,G. Venugopal,Akash,Avinash,Gagan
5ters castle of dark master,2011,110,Adventure,4.6,19,G. Venugopal,Akash,Avinash,Gagan
5ters castle of dark master,2011,110,Fantasy,4.6,19,G. Venugopal,Akash,Avinash,Gagan
6-5=2,2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 pages,2007,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
7 1/2 phere more than a wedding,2005,136,Comedy,5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 1/2 phere more than a wedding,2005,136,Drama,5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 bijliyaan,1988,126,Action,5,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 hours to go,2016,115,Crime,5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 hours to go,2016,115,Thriller,5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 islands and a metro,2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 khoon maaf,2011,137,Drama,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 khoon maaf,2011,137,Mystery,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 khoon maaf,2011,137,Thriller,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 saal baad,1987,127,Drama,4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
7 saal baad,1987,127,Horror,4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
7 saal baad,1987,127,Musical,4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 hours martyr who never died,2019,130,Action,5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
72 hours martyr who never died,2019,130,Biography,5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
72 hours martyr who never died,2019,130,Drama,5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
8 x 10 tasveer,2009,122,Action,5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8 x 10 tasveer,2009,122,Fantasy,5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8 x 10 tasveer,2009,122,Mystery,5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 miles,2021,115,Adventure,6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
8119 miles,2021,115,Drama,6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
8119 miles,2021,115,Mystery,6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
88 antop hill,2003,119,Mystery,4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
88 antop hill,2003,119,Thriller,4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 o' clock,2017,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
99,2009,135,Comedy,7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99,2009,135,Crime,7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99,2009,135,Drama,7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 songs,2019,128,Musical,7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99 songs,2019,128,Romance,7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 fm,2005,90,Crime,4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
99.9 fm,2005,90,Drama,4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
a billion colour story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
a daughter's tale pankh,2017,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
a death in the gunj,2016,110,Drama,7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
a death in the gunj,2016,110,Thriller,7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
a film by aravind,2005,150,Horror,6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
a film by aravind,2005,150,Mystery,6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
a flat,2010,103,Drama,4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
a flat,2010,103,Horror,4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
a flat,2010,103,Romance,4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
a flying jatt,2016,151,Action,3,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
a flying jatt,2016,151,Adventure,3,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
a flying jatt,2016,151,Comedy,3,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
a game called relationship,2020,109,Comedy,6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
a game called relationship,2020,109,Romance,6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
a gentleman,2017,145,Action,6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
a gentleman,2017,145,Comedy,6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
a gift of love sifar,2019,95,Drama,8,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
a gift of love sifar,2019,95,Romance,8,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
a journey of samyak buddha,2013,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
a new love ishtory,2013,140,Romance,6,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
a scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
a sublime love story barsaat,2005,143,Drama,3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
a sublime love story barsaat,2005,143,Romance,3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
a thin line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
a wednesday,2008,104,Action,8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
a wednesday,2008,104,Crime,8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
a wednesday,2008,104,Drama,8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
aa ab laut chalen,1999,177,Musical,5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
aa ab laut chalen,1999,177,Romance,5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
aa ab laut chalen,1999,177,Drama,5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
aa bb kk,2018,121,Drama,8,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
aa dekhen zara,2009,117,Action,5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
aa dekhen zara,2009,117,Sci-Fi,5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
aa dekhen zara,2009,117,Thriller,5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
aa gale lag jaa,1973,148,Action,7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
aa gale lag jaa,1973,148,Drama,7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
aa gale lag jaa,1973,148,Romance,7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
aa gale lag jaa,1994,158,Mystery,4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
aa gale lag jaa,1994,158,Romance,4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
aa gaya hero,2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
aa jao please,2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
aabra ka daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
aabroo,1968,170,Comedy,5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
aabroo,1968,170,Crime,5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
aabroo,1968,170,Drama,5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
aadamkhor,2018,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
aadat se majboor,1982,105,Action,5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
aadat se majboor,1982,105,Crime,5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
aadat se majboor,1982,105,Drama,5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
aadha din aadhee raat,1977,132,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
aadhaar,2019,107,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
aadharshila,1982,154,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
aadhi bhagavan,2013,157,Action,5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
aadhi bhagavan,2013,157,Crime,5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
aadhi bhagavan,2013,157,Thriller,5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
aadhi raat,1950,115,Drama,6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
aadhi raat,1950,115,Romance,6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
aadmi,1968,175,Drama,6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
aadmi,1968,175,Romance,6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
aadmi,1993,153,Action,6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
aadmi,1993,153,Crime,6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
aadmi,1993,153,Drama,6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
aadmi aur apsara,1991,142,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
aadmi aur insaan,1969,168,Drama,6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
aadmi aur insaan,1969,168,Romance,6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
aadmi aur insaan,1969,168,Thriller,6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
aadmi khilona hai,1993,158,Drama,5,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda
aadmi khilona hai,1993,158,Romance,5,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda
aadmi ki aurat aur anya kahaniya,2009,78,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
