name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
dayavan,1988,173,Drama,6.5,548,Feroz Khan,Vinod Khanna,Feroz Khan,Amala Akkineni
days and nights on earth,2017,75,Drama,8.1,15,Piyush Sharma,Charvi Dutta,Rishi Singh,Anuj Sen
days of tafree,2016,155,Comedy,7.3,252,Krishnadev Yagnik,Yash Soni,Ansh Bagri,Sarabjeet Bindra
d-day,2013,153,Action,7.2,9525,Nikkhil Advani,Irrfan Khan,Rishi Kapoor,Arjun Rampal
d-day,2013,153,Thriller,7.2,9525,Nikkhil Advani,Irrfan Khan,Rishi Kapoor,Arjun Rampal
de dana dan,2009,162,Action,5.5,7758,Priyadarshan,Akshay Kumar,Sunil Shetty,Katrina Kaif
de dana dan,2009,162,Comedy,5.5,7758,Priyadarshan,Akshay Kumar,Sunil Shetty,Katrina Kaif
de dana dan,2009,162,Crime,5.5,7758,Priyadarshan,Akshay Kumar,Sunil Shetty,Katrina Kaif
de de pyaar de,2019,135,Comedy,6.6,7329,Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh
de de pyaar de,2019,135,Drama,6.6,7329,Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh
de de pyaar de,2019,135,Romance,6.6,7329,Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh
de taali,2008,140,Comedy,4.1,808,Eeshwar Nivas,Aftab Shivdasani,Riteish Deshmukh,Ayesha Takia
de taali,2008,140,Drama,4.1,808,Eeshwar Nivas,Aftab Shivdasani,Riteish Deshmukh,Ayesha Takia
de taali,2008,140,Romance,4.1,808,Eeshwar Nivas,Aftab Shivdasani,Riteish Deshmukh,Ayesha Takia
dead morning,2016,126,Comedy,6.4,10,Prashant Passy Pilley,Manisha Chauhan,Nidhi Gupta,Saurabh Kishore
dead morning,2016,126,Thriller,6.4,10,Prashant Passy Pilley,Manisha Chauhan,Nidhi Gupta,Saurabh Kishore
deadline sirf 24 ghante,2006,102,Crime,6.3,585,Tanveer Khan,Rajit Kapoor,Konkona Sen Sharma,Jhanak Shukla
deadline sirf 24 ghante,2006,102,Thriller,6.3,585,Tanveer Khan,Rajit Kapoor,Konkona Sen Sharma,Jhanak Shukla
dear dad,2016,95,Drama,6.3,384,Tanuj Bhramar,Arvind Swamy,Ekavali Khanna,Himanshu Sharma
dear dad,2016,95,Family,6.3,384,Tanuj Bhramar,Arvind Swamy,Ekavali Khanna,Himanshu Sharma
dear maya,2017,111,Drama,5.8,390,Sunaina Bhatnagar,Manisha Koirala,Madiha Imam,Shreya Chaudhary
dear maya,2017,111,Romance,5.8,390,Sunaina Bhatnagar,Manisha Koirala,Madiha Imam,Shreya Chaudhary
dear molly,2018,91,Drama,7.8,10,Gajendra Ahire,Alok Rajwade,Mrinmayee Godbole,Gurbani Gill
dear vs bear,2014,145,Adventure,6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi
dear vs bear,2014,145,Thriller,6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi
dear zindagi,2016,151,Drama,7.5,37149,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor
dear zindagi,2016,151,Romance,7.5,37149,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor
debshishu,1987,100,Drama,7.5,22,Utpalendu Chakrabarty,Bijoy Dey,Noni Ganguly,Rohini Hattangadi
dedh ishqiya,2014,152,Comedy,7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
dedh ishqiya,2014,152,Drama,7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
dedh ishqiya,2014,152,Romance,7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
deedar,1992,130,Drama,4.3,578,Pramod Chakravorty,Akshay Kumar,Karisma Kapoor,Laxmikant Berde
deedar,1992,130,Romance,4.3,578,Pramod Chakravorty,Akshay Kumar,Karisma Kapoor,Laxmikant Berde
deedar,1951,130,Musical,7.6,198,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar
deedar,1951,130,Romance,7.6,198,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar
deewaanapan,2001,153,Action,4.6,418,Ashu Trikha,Arjun Rampal,Dia Mirza,Vinod Khanna
deewaanapan,2001,153,Romance,4.6,418,Ashu Trikha,Arjun Rampal,Dia Mirza,Vinod Khanna
deewaangee,1976,168,Action,6.5,40,Samir Ganguly,Shashi Kapoor,Zeenat Aman,Ranjeet
deewaangee,1976,168,Crime,6.5,40,Samir Ganguly,Shashi Kapoor,Zeenat Aman,Ranjeet
deewaangee,1976,168,Drama,6.5,40,Samir Ganguly,Shashi Kapoor,Zeenat Aman,Ranjeet
deewaar,1975,174,Action,8.1,10361,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy
deewaar,1975,174,Crime,8.1,10361,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy
deewaar,1975,174,Drama,8.1,10361,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy
deewana,1992,185,Action,6.9,6298,Raj Kanwar,Rishi Kapoor,Divya Bharti,Shah Rukh Khan
deewana,1992,185,Comedy,6.9,6298,Raj Kanwar,Rishi Kapoor,Divya Bharti,Shah Rukh Khan
deewana,1992,185,Crime,6.9,6298,Raj Kanwar,Rishi Kapoor,Divya Bharti,Shah Rukh Khan
deewana main deewana,2013,130,Comedy,2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan
deewana main deewana,2013,130,Drama,2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan
deewana main deewana,2013,130,Romance,2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan
deewana mastana,1997,140,Comedy,6.7,2488,David Dhawan,Anil Kapoor,Govinda,Juhi Chawla
deewana mastana,1997,140,Romance,6.7,2488,David Dhawan,Anil Kapoor,Govinda,Juhi Chawla
deewana mujh sa nahin,1990,130,Romance,5.7,953,Y. Nageswara Rao,M. Parvez,Aamir Khan,Madhuri Dixit
deewana mujh sa nahin,1990,130,Comedy,5.7,953,Y. Nageswara Rao,M. Parvez,Aamir Khan,Madhuri Dixit
deewana mujh sa nahin,1990,130,Drama,5.7,953,Y. Nageswara Rao,M. Parvez,Aamir Khan,Madhuri Dixit
deewana tere naam ka,1987,97,Drama,5,25,Deepak Bahry,Mithun Chakraborty,Vijayata Pandit,Danny Denzongpa
deewana tere naam ka,1987,97,Romance,5,25,Deepak Bahry,Mithun Chakraborty,Vijayata Pandit,Danny Denzongpa
deewane,2000,164,Action,4.7,587,Harry Baweja,Ajay Devgn,Urmila Matondkar,Mahima Chaudhry
